Date,Symbol,Close,High,Low,Open,Volume
2016-07-19,GOOGL,753.41,756.59,748.489,749.87,1521795
2016-07-20,GOOGL,757.08,760.64,754.05,754.05,1125117
2016-07-21,GOOGL,754.41,758.15,751.52,757.0,953053
2016-07-22,GOOGL,759.28,759.45,752.655,757.32,1046024
2016-07-25,GOOGL,757.52,759.8249,754.07,757.68,1073310
2016-07-26,GOOGL,757.65,759.26,752.7503,757.52,1189573
2016-07-27,GOOGL,761.97,764.45,755.93,758.97,1608589
2016-07-28,GOOGL,765.84,768.97,759.09,768.84,3673221
2016-07-29,GOOGL,791.34,803.94,790.0,797.71,5090527
2016-08-01,GOOGL,800.94,807.49,785.04,786.67,3029658
2016-08-02,GOOGL,800.12,802.32,794.53,797.33,1996354
2016-08-03,GOOGL,798.92,799.54,793.02,796.47,1461025
2016-08-04,GOOGL,797.25,800.2,793.92,798.24,1076031
2016-08-05,GOOGL,806.93,807.22,797.81,800.11,1807271
2016-08-08,GOOGL,805.23,807.6,801.69,806.0,1221609
2016-08-09,GOOGL,807.48,813.33,804.06,804.49,1607685
2016-08-10,GOOGL,808.49,810.879,806.49,807.05,918514
2016-08-11,GOOGL,808.2,813.879,806.0,810.47,1282274
2016-08-12,GOOGL,807.05,807.19,803.64,805.09,897283
2016-08-15,GOOGL,805.96,811.36,804.03,807.21,930074
2016-08-16,GOOGL,801.19,804.26,797.0,803.5,1057897
2016-08-17,GOOGL,805.42,805.63,796.3,800.0,1066070
2016-08-18,GOOGL,802.75,808.0,801.63,805.36,865160
2016-08-19,GOOGL,799.65,801.23,796.88,799.79,1120763
2016-08-22,GOOGL,796.95,799.3,794.33,798.51,853365
2016-08-23,GOOGL,796.59,801.0,795.99,800.48,917513
2016-08-24,GOOGL,793.6,798.46,790.76,796.86,1284437
2016-08-25,GOOGL,791.3,794.72,787.23,792.0,1202680
2016-08-26,GOOGL,793.22,799.4,789.4069,792.49,1248881
2016-08-29,GOOGL,795.82,798.52,790.32,793.05,773698
2016-08-30,GOOGL,791.92,798.0,789.47,792.88,1167413
2016-08-31,GOOGL,789.85,791.57,787.2,789.6,1071420
2016-09-01,GOOGL,791.4,792.89,786.33,791.98,1303460
2016-09-02,GOOGL,796.87,797.1,793.26,795.27,1349896
2016-09-05,GOOGL,796.87,796.87,796.87,796.87,0
2016-09-06,GOOGL,808.02,810.89,795.43,798.39,1989537
2016-09-07,GOOGL,807.99,810.6,803.72,807.93,1145724
2016-09-08,GOOGL,802.84,808.42,801.0101,805.22,1177660
2016-09-09,GOOGL,788.48,801.75,788.05,798.77,1887633
2016-09-12,GOOGL,798.82,800.17,783.5,784.52,1863737
2016-09-13,GOOGL,788.72,795.79,784.33,794.01,1809044
2016-09-14,GOOGL,790.46,796.33,787.53,787.53,1313912
2016-09-15,GOOGL,801.23,803.645,788.66,790.01,1566360
2016-09-16,GOOGL,797.97,799.02,793.62,799.02,2130571
2016-09-19,GOOGL,795.39,803.99,793.56,801.11,1149522
2016-09-20,GOOGL,799.78,802.75,798.26,800.0,1050041
2016-09-21,GOOGL,805.03,805.91,796.03,801.26,1348476
2016-09-22,GOOGL,815.95,819.06,807.71,810.0,1759290
2016-09-23,GOOGL,814.96,817.0,812.73,815.14,1411673
2016-09-26,GOOGL,802.65,810.08,800.45,809.82,1472732
2016-09-27,GOOGL,810.73,813.49,801.83,801.83,1367271
2016-09-28,GOOGL,810.06,810.25,802.7803,804.08,1470280
2016-09-29,GOOGL,802.64,813.91,800.855,807.23,1349974
2016-09-30,GOOGL,804.06,808.09,801.5,803.6,1660201
2016-10-03,GOOGL,800.38,803.54,796.23,802.55,1489212
2016-10-04,GOOGL,802.79,806.5,799.67,805.0,1258706
2016-10-05,GOOGL,801.23,808.5,800.71,806.0,1213820
2016-10-06,GOOGL,803.08,806.945,800.51,804.08,1099909
2016-10-07,GOOGL,800.71,805.94,796.82,805.93,1163899
2016-10-10,GOOGL,814.17,817.38,802.24,803.93,1496115
2016-10-11,GOOGL,809.57,819.86,807.37,814.17,1721575
2016-10-12,GOOGL,811.77,814.5,808.5545,811.96,907876
2016-10-13,GOOGL,804.08,806.56,798.62,806.07,1368981
2016-10-14,GOOGL,804.6,810.09,802.32,807.45,1111934
2016-10-17,GOOGL,806.84,813.49,803.83,805.99,1056367
2016-10-18,GOOGL,821.49,828.81,813.33,814.21,2289265
2016-10-19,GOOGL,827.09,829.81,823.205,824.52,1500142
2016-10-20,GOOGL,821.63,828.465,820.55,827.56,1393870
2016-10-21,GOOGL,824.06,824.29,818.31,820.0,1615814
2016-10-24,GOOGL,835.74,837.94,829.04,830.09,1447616
2016-10-25,GOOGL,828.55,838.5,825.3005,838.5,1890712
2016-10-26,GOOGL,822.1,827.71,816.35,827.12,1794868
2016-10-27,GOOGL,817.35,826.58,814.61,823.01,2973486
2016-10-28,GOOGL,819.56,839.0,817.0,829.94,4354884
2016-10-31,GOOGL,809.9,822.63,808.0,822.43,2242679
2016-11-01,GOOGL,805.48,813.96,798.26,810.87,2355890
2016-11-02,GOOGL,788.42,806.76,785.0,806.76,2350736
2016-11-03,GOOGL,782.19,790.0,778.63,784.5,2175216
2016-11-04,GOOGL,781.1,788.48,771.0043,771.3,1970603
2016-11-07,GOOGL,802.03,805.0,792.9,794.95,1992570
2016-11-08,GOOGL,811.98,816.04,799.62,802.03,1769069
2016-11-09,GOOGL,805.59,811.71,792.035,801.83,3098510
2016-11-10,GOOGL,780.29,810.06,768.23,810.0,5909609
2016-11-11,GOOGL,771.75,777.29,765.54,776.81,3592641
2016-11-14,GOOGL,753.22,771.78,743.59,771.76,3688274
2016-11-15,GOOGL,775.16,780.2376,765.22,765.47,2943889
2016-11-16,GOOGL,779.98,783.5,766.33,770.42,1798360
2016-11-17,GOOGL,786.16,788.9,779.85,782.5,1533679
2016-11-18,GOOGL,775.97,791.29,775.35,787.17,1806264
2016-11-21,GOOGL,784.8,786.55,776.3,778.1,1630835
2016-11-22,GOOGL,785.0,793.77,783.74,788.99,1394174
2016-11-23,GOOGL,779.0,789.52,772.65,789.52,1312981
2016-11-24,GOOGL,779.0,779.0,779.0,779.0,0
2016-11-25,GOOGL,780.23,782.9,778.19,782.61,613549
2016-11-28,GOOGL,785.79,799.74,778.1,778.35,2575432
2016-11-29,GOOGL,789.44,796.44,785.34,788.38,1561981
2016-11-30,GOOGL,775.88,791.51,773.145,789.1,2279054
2016-12-01,GOOGL,764.33,778.6,753.36,778.55,2867074
